Start,End,Cost,Capacity,Length,Free_Flow_Speed,Direction
A,D,30,10,0.25,30,E
D,A,30,10,0.25,30,W
D,S,30,4,0.25,30,N
D,E,30,10,0.25,30,E
D,G,30,4,0.25,30,S
S,D,30,4,0.25,30,S
E,D,30,10,0.25,30,W
G,D,30,4,0.25,30,N
S,B,30,4,0.25,30,E
B,S,30,4,0.25,30,W
G,H,30,4,0.25,30,E
H,G,30,4,0.25,30,W
B,E,30,4,0.25,30,S
B,C,30,4,0.25,30,E
E,B,30,4,0.25,30,N
C,B,30,4,0.25,30,W
H,E,30,4,0.25,30,N
H,I,30,4,0.25,30,E
E,H,30,4,0.25,30,N
I,H,30,4,0.25,30,W
I,F,30,4,0.25,30,N
F,I,30,4,0.25,30,S
C,F,30,4,0.25,30,S
F,C,30,4,0.25,30,N
E,F,30,4,0.25,30,E
F,E,30,4,0.25,30,W
F,Z,30,20,0.25,30,E
Z,F,30,20,0.25,30,W
